备注：考试明细表 学生ID 科目(语文 数学 英语) 考试序号(如201901) 成绩 考试时间
1,88,44,55,201901,2019-03-02
2,88,44,55,201901,2019-03-02
3,88,44,55,201901,2019-03-02
4,88,44,55,201901,2019-03-02
5,88,44,55,201901,2019-03-02
6,88,44,55,201901,2019-03-02
7,88,44,55,201901,2019-03-02
8,88,44,55,201901,2019-03-02
9,88,44,55,201901,2019-03-02
10,88,44,55,201901,2019-03-02
11,88,44,55,201901,2019-03-02
12,88,44,55,201901,2019-03-02
13,88,44,55,201901,2019-03-02
14,88,44,55,201901,2019-03-02
15,88,44,55,201901,2019-03-02
16,88,44,55,201901,2019-03-02
17,88,44,55,201901,2019-03-02
18,88,44,55,201901,2019-03-02
19,88,44,55,201901,2019-03-02
20,88,44,55,201901,2019-03-02
21,88,44,55,201901,2019-03-02
22,88,44,55,201901,2019-03-02
23,88,44,55,201901,2019-03-02
24,88,44,55,201901,2019-03-02
25,88,44,55,201901,2019-03-02
26,88,44,55,201901,2019-03-02
27,88,44,55,201901,2019-03-02
28,88,44,55,201901,2019-03-02
29,88,44,55,201901,2019-03-02
30,88,44,55,201901,2019-03-02
31,88,44,55,201901,2019-03-02
32,88,44,55,201901,2019-03-02
33,88,44,55,201901,2019-03-02
34,88,44,55,201901,2019-03-02
35,88,44,55,201901,2019-03-02
36,88,44,55,201901,2019-03-02
37,88,44,55,201901,2019-03-02
38,88,44,55,201901,2019-03-02
39,88,44,55,201901,2019-03-02
40,88,44,55,201901,2019-03-02
41,88,44,55,201901,2019-03-02
42,88,44,55,201901,2019-03-02
43,88,44,55,201901,2019-03-02
44,88,44,55,201901,2019-03-02
45,88,44,55,201901,2019-03-02
46,88,44,55,201901,2019-03-02
47,88,44,55,201901,2019-03-02
48,88,44,55,201901,2019-03-02
49,88,44,55,201901,2019-03-02
50,88,44,55,201901,2019-03-02
51,88,44,55,201901,2019-03-02
52,88,44,55,201901,2019-03-02
53,88,44,55,201901,2019-03-02
54,88,44,55,201901,2019-03-02
55,88,44,55,201901,2019-03-02
